tenure,MonthlyCharges,TotalCharges
13,67.8,842.25
2,20.35,41.85
33,20.1,579.4
5,96.55,500.1
36,54.45,1893.5
4,57.2,223.75
38,83.9,3233.6
43,86.45,3574.5
2,19.85,52
27,52.85,1498.65
2,80.95,171.15
49,90.85,4515.85
35,61.2,2021.2
10,19.75,208.25
11,51,581.7
35,101.4,3496.3
63,89.4,5597.65
41,35.45,1391.65
28,54.9,1505.15
12,20.3,224.5
16,20,275.7
22,20.05,417
64,19.8,1336.65
2,20.3,40.25
26,35.4,978.6
20,68.9,1370.35
21,86.5,1808.7
1,70.6,70.6
38,81.85,3141.7
1,55.05,55.05
40,20.15,804.85
33,80.1,2603.3
5,79.9,343.95
69,80.65,5542.55
24,19.7,494.05
29,33.75,1009.25
1,69.1,69.1
1,46.3,46.3
13,73.75,956.65
1,19.95,19.95
63,74.5,4674.55
49,66.15,3199
3,88.3,273.75
2,44.65,74.9
34,100.45,3414.65
10,70.3,676.15
17,92.55,1614.7
4,19,73.45
22,80,1706.45
1,70.15,70.15
63,19.55,1245.6
52,104.2,5568.35
6,19.55,122.9
30,25.35,723.3
51,94.8,4837.6
2,70.3,132.4
51,75.2,3901.25
72,70.45,5165.7
1,45.15,45.15
47,84.95,4018.05
2,20,38
70,105.35,7511.9
72,110.75,7751.7
3,19.6,59.75
1,19.3,19.3
1,50.9,50.9
29,94.65,2649.15
2,93.85,196.75
5,34.25,163.55
2,69.65,145.15
63,107.5,6873.75
17,100.45,1622.45
20,20.05,406.05
1,75.3,75.3
2,45.25,85.5
26,93.6,2404.1
42,84.3,3588.4
13,45.3,528.45
52,21,1107.2
1,50.15,50.15
10,74.15,811.8
52,111.25,5916.45
12,53.65,696.35
42,20.7,828.85
32,89.6,2901.8
49,55.35,2633.95
33,90.65,2989.6
36,84.9,3067.2
35,81.6,2815.25
12,75.85,854.45
47,95.2,4563
72,80.85,5824.75
1,19.2,19.2
5,85.3,420.45
63,24.2,1618.2
51,90.15,4554.85
14,31.1,419.7
27,110.5,2857.6
7,69.85,515.45
30,85.45,2509.95
23,85.6,1868.4
72,74.35,5237.4
25,65.8,1679.65
20,96.55,1901.65
1,19.65,19.65
1,25.2,25.2
45,95,4368.85
43,101,4388.4
72,115.8,8476.5
31,104.2,3243.45
37,78.95,2839.65
22,79.2,1742.75
27,55.45,1477.65
32,109.55,3608
28,64.4,1802.15
67,65.55,4361.55
40,84.9,3369.05
55,60,3316.1
53,85.7,4616.1
27,48.7,1421.75
11,73.5,791.75
15,87.75,1242.2
36,18.55,689
2,18.75,53.15
70,92.2,6474.45
1,75.1,75.1
46,54.35,2460.15
47,90.5,4318.35
1,50.15,50.15
70,106.05,7554.05
68,70.9,4911.35
49,99.4,5025
18,99.85,1776.95
68,75.8,5293.95
7,69.55,521.35
1,43.8,43.8
7,20.75,141.1
1,45.3,45.3
35,20.1,655.3
1,79.65,79.65
1,69.6,69.6
9,44.4,348.15
18,20.25,401.95
1,55.25,55.25
7,94.05,633.45
65,95.5,6153.85
71,85.45,6028.95
70,25.15,1790.15
2,20.65,38.7
10,29.65,291.4
49,59.6,2970.3
38,95,3591.25
24,54.6,1242.25
36,51.05,1815
63,71.9,4479.2
48,20.2,1027.25
8,101.15,842.9
19,20.15,387.7
3,74.95,212.4
20,71.3,1389.2
58,45,2689.35
18,88.35,1639.3
16,72.65,1194.3
36,94.7,3512.5
30,97,3021.3
30,101.5,2917.65
1,50.55,50.55
71,80.7,5676
61,100.7,6018.65
72,105.55,7542.25
49,74.6,3720.35
22,93.2,2157.3
46,24.45,1066.15
17,61.95,1070.7
68,80.65,5330.2
4,80.8,332.45
72,114.5,8331.95
44,50.15,2139.1
67,93.15,6368.2
72,107.4,7748.75
61,20.4,1226.45
47,54.25,2538.2
48,45.3,2145
2,46.6,87.9
4,19.75,78.3
43,79.15,3566.6
31,80.55,2471.6
20,89,1820.45
71,104.15,7365.3
10,20.15,220.8
39,86.3,3266
36,94.8,3565.65
71,24.55,1719.15
2,79.55,151.75
62,23.75,1446.8
24,85.95,2107.15
11,99.5,1056.95
4,19.6,93.45
3,94.85,335.75
35,55.6,2016.45
4,20.4,84.75
33,103.75,3361.05
21,75.9,1549.75
62,101.15,6638.35
6,89.75,552.65
2,70.7,129.2
1,19.45,19.45
6,60.9,414.1
25,84.8,2043.45
26,85.2,2184.6
7,79.7,586.05
68,105.75,7322.5
18,89.6,1633
72,115.8,8332.15
16,53.9,834.15
57,59.75,3450.15
69,104.7,7220.35
29,26.1,692.55
4,19.85,63
67,106.6,7244.7
17,80.05,1345.65
55,74,4052.4
35,46.35,1662.05
53,46.3,2546.85
10,86.65,856.65
4,75.35,338.1
1,70.3,70.3
6,49.5,312.7
70,58.4,4113.15
71,87.95,6365.35
61,19.75,1311.6
22,20.85,450.65
56,86.4,4922.4
4,101.15,385.9
2,19.5,27.55
8,74.5,609.9
67,94.65,6079
1,19.5,19.5
61,20.55,1305.95
17,21.1,385.55
28,30.1,810.85
25,105.95,2655.25
11,20.1,221.35
4,54.3,195.3
47,24.55,1160.45
5,70.05,346.4
28,35.75,961.4
8,19.95,170.9
33,54.6,1803.7
69,86.9,6194.1
66,56.75,3708.4
71,58.65,4145.25
8,19.55,161.15
59,61.35,3645.5
5,50.6,249.95
9,79.9,741.7
6,59.45,357.6
37,99.2,3754.6
41,19.75,899.45
70,97.65,6982.5
72,105,7589.8
24,57.6,1367.75
5,49.2,216.9
39,95.55,3692.85
65,93.55,6069.25
2,35.1,68.75
45,99.7,4634.35
72,19.85,1434.1
56,25.15,1327.15
66,74.25,4859.25
1,75.5,75.5
64,24.7,1642.75
16,74.55,1170.5
1,50.7,50.7
1,44.95,44.95
13,71.95,923.85
16,91.55,1540.05
1,49.9,49.9
18,20.1,407.05
71,20.85,1539.75
39,80,3182.95
68,84.4,5746.75
9,50.85,466.6
62,86.1,5215.25
60,49.45,2907.55
63,96,6109.75
31,64,1910.75
1,19.75,19.75
14,39.7,692.35
44,61.9,2924.05
24,84.8,1990.5
29,87.8,2621.75
20,95.5,1916.2
1,55.7,55.7
20,78.8,1641.3
21,86.55,1857.25
32,18.95,613.95
48,19.55,883.35
13,49.15,649.4
46,20.1,936.85
47,106.35,4849.1
3,80.7,239.45
19,19.65,358.15
9,19.75,210.65
29,84.9,2516.2
68,19.6,1441.65
19,39.7,710.05
6,80.25,493.4
57,74.3,4018.35
1,80.5,80.5
72,109.15,7789.6
38,54.5,2076.05
10,54.95,568.85
15,96.5,1392.25
71,24.75,1836.9
9,89.45,853.1
72,20.1,1460.85
25,20.75,499.4
72,24.25,1784.5
32,85.65,2664.3
63,25.25,1573.05
6,99.95,547.65
50,100.65,5189.75
16,79.95,1267.95
27,20.35,531.6
2,70.4,147.15
4,56.5,235.1
16,49.45,799
31,84.85,2633.4
72,25.75,1864.2
1,20.7,20.7
15,38.8,603
24,64.35,1558.65
4,80.1,336.15
10,20.05,218.5
72,84.45,5899.85
8,70.7,553.4
48,19.25,855.1
12,34,442.45
5,91.4,449.75
5,90.8,455.5
49,71.8,3472.05
16,39,679.85
35,85.3,2917.5
24,83.15,2033.05
6,84.2,519.15
72,86.4,6058.95
1,95.85,95.85
17,20.5,365.8
72,73,5265.2
67,75.1,5064.45
48,70.1,3238.4
7,85.2,602.55
26,39.95,1023.75
38,84.1,3187.65
6,94.05,518.75
48,91.05,4370.75
1,69.75,69.75
8,58.2,469.25
8,43.45,345.5
46,91.3,4126.35
65,58.9,3857.1
1,45.3,45.3
56,24.45,1431.65
68,44.95,3085.35
62,97.95,5936.55
68,80.35,5375.15
72,65.65,4664.5
13,25,332.5
68,89.95,5974.3
9,94.4,857.25
44,90.4,4063
62,81,4985.9
12,51.25,612.1
71,19.45,1378.45
47,66.05,3021.45
35,102.05,3452.55
22,54.45,1127.35
29,19.55,521.8
60,20.55,1205.05
8,19.2,161.95
25,54.75,1266.35
1,95.45,95.45
32,91.35,2896.55
29,78.9,2384.15
14,69.65,921.4
6,19.65,116.85
71,107.5,7713.55
64,99.25,6549.45
33,20.1,620.55
61,49.7,2961.4
1,35.9,35.9
25,19.9,510.8
6,90.75,512.25
40,60.3,2448.5
30,64.5,1929.95
45,84.55,3713.95
72,26.25,1988.05
44,53.95,2375.4
72,19.4,1363.25
21,94.3,1948.35
67,60.5,3870
55,90.45,5044.8
69,105,7297.75
12,96,1062.1
1,80.8,80.8
67,79.7,5293.4
2,44.95,85.15
1,49.9,49.9
68,60.3,4109
35,20.2,684.4
8,54.75,445.85
68,78.45,5333.35
72,84.05,6052.25
33,88.95,3027.65
23,48.35,1067.15
66,105.95,6975.25
62,20,1250.1
72,114.05,8289.2
1,49.75,49.75
11,20.55,184.95
69,105.4,6998.95
5,19.95,109.6
1,45.85,45.85
13,73.35,931.55
72,68.75,4888.2
57,20.75,1123.15
19,19.7,386.5
67,109.9,7332.4
43,40.45,1912.85
41,20.15,802.35
3,19.75,58.85
9,88.05,801.3
72,106.1,7848.5
13,54.15,701.05
60,104.95,6236.75
25,74.3,1863.8
3,74.45,221.1
11,20,196.35
66,75.1,5013
71,20.1,1389.6
7,89.15,574.35
68,62.65,4375.8
7,20.35,150.6
47,60,2768.65
22,54.7,1178.75
24,76.1,1712.7
70,98.3,6859.5
16,84.9,1398.25
4,76.65,333.6
65,100.15,6643.5
15,48.85,736.8
68,84.7,5711.05
1,20.5,20.5
48,19.95,936.7
13,54.8,731.3
15,56.15,931.9
72,116.8,8456.75
43,20,817.95
1,52.2,52.2
62,106.05,6703.5
39,19.35,779.2
62,101.35,6164.7
50,35,1782.4
15,85.9,1269.55
67,116.2,7752.3
12,29.2,309.1
20,20.65,417.5
3,82.3,214.4
5,75.55,349.65
40,50.85,2036.55
23,75.6,1758.6
9,29.95,248.95
36,53.1,1901.25
10,19.3,185.2
1,19.1,19.1
7,19.9,173.15
70,65.3,4759.75
51,60.5,3145.15
64,104.05,6605.55
5,82.75,417.75
61,98.3,6066.55
35,99.05,3554.6
41,20,810.3
59,68.7,4070.95
27,20.25,538.2
5,104.1,541.9
52,80.95,4233.95
57,69.85,4003
51,24.75,1234.6
71,25.95,1801.9
71,90.3,6287.3
1,53.5,53.5
72,89.75,6595.9
2,73.25,131.05
11,20,211.95
64,74.65,4869.35
10,26.1,225.55
1,69.5,69.5
19,44.9,839.65
11,19.65,225.75
52,81.4,4354.45
39,73.15,2730.85
7,75.15,496.9
20,20.35,393.15
2,79.7,165
42,101.75,4273.45
42,66.4,2727.8
17,89.4,1539.45
43,35.2,1463.7
6,20.6,116.6
19,86.85,1564.4
63,68.8,4111.35
71,89.85,6293.45
66,108.45,7076.35
23,25.1,611.45
72,25.4,1809.35
24,49.7,1218.25
10,91.1,964.35
29,24.85,788.05
41,78.45,3126.45
62,65.1,3846.75
9,102.6,897.75
51,79.15,4018.55
9,94.85,890.6
54,20.35,1092.35
3,35.1,101.1
46,19.95,862.4
5,46,221.7
54,20.1,1079.45
4,65.6,250.1
22,88.75,1885.15
11,89.7,1047.7
66,110.9,7432.05
34,105.35,3540.65
72,64.45,4641.1
1,44.45,44.45
20,19.6,356.15
2,86.2,178.7
26,45.8,1147
52,24.55,1331.05
71,53.95,3888.65
9,43.75,405.7
41,40.35,1677.85
13,19.65,244.8
22,63.55,1381.8
42,60.15,2421.6
2,104.4,242.8
69,93.3,6398.05
6,93.55,536.4
67,19.65,1335.2
11,79.5,868.5
1,35.05,35.05
29,89.65,2623.65
34,85.35,2896.6
21,75.3,1570.7
3,41.35,107.25
72,108.4,7767.25
30,55.3,1530.6
23,24.8,615.35
23,40.65,947.4
72,85.95,6151.9
53,100.3,5200.8
41,98.05,3990.6
30,79.3,2427.1
1,75.35,75.35
28,100.2,2688.45
16,20.25,327.45
72,83.55,6093.3
15,94,1505.45
66,20.55,1357.1
12,100.15,1164.3
43,101.4,4528
1,100.8,100.8
24,70.3,1706.45
71,89.45,6435.25
4,50.8,202.3
24,34.25,828.2
2,74.9,147.15
21,36,780.15
31,104.35,3205.6
17,20.05,337.9
5,20.1,85.1
14,44.6,641.25
45,87.25,3941.7
37,64.75,2345.2
3,80.5,232.35
64,85,5484.4
66,29.45,1983.15
44,100.55,4398.15
15,80.2,1217.25
1,70.35,70.35
16,19.05,326.65
39,49.8,1971.15
71,19.85,1379.6
55,20.3,1079.05
67,102.9,6989.7
7,44.65,322.5
41,113.6,4594.95
72,109.65,7880.25
26,78.8,2006.1
3,54.2,140.4
60,89.45,5294.6
2,20.75,44.2
46,80.4,3605.2
22,55.1,1253.15
2,97.1,184.15
51,24.6,1266.4
1,70.6,70.6
1,50.5,50.5
2,76.4,160.8
28,49.9,1410.25
18,49.4,874.8
71,83.3,5894.5
53,103.85,5485.5
31,79.3,2484
57,95.25,5464.65
30,104.1,3121.1
8,75.25,576.7
11,20.25,208
32,83.7,2633.3
48,103.25,5037.55
36,20.35,695.85
3,19.3,54.7
63,104.75,6536.5
34,78.3,2564.3
25,79,1902
2,70.15,123.8
55,94.45,5073.1
4,84.8,371.9
18,49.55,878.35
51,59.3,3014.65
64,111.15,6953.4
37,91.15,3369.25
3,20,63.6
64,25.65,1740.8
67,111.2,7530.8
6,47.95,305.1
71,23.95,1756.2
15,25.4,399.6
69,92.45,6460.55
9,99.45,919.4
9,19.05,157.65
44,61.5,2722.2
52,100.3,5244.45
7,74.65,521.1
23,83.75,1849.95
59,72.1,4194.85
4,46,193.6
29,98.5,3004.15
27,88.3,2467.75
9,69.4,571.45
25,74.3,1952.25
27,85.2,2151.6
2,20.05,42.7
30,106.4,3211.9
23,104.45,2184.85
15,86.2,1270.2
50,19.35,1033
4,84.6,360.1
70,113.65,7714.65
69,97.65,6743.55
2,80.65,144.15
30,50,1474.9
67,50.55,3431.75
50,20.55,1070.25
23,20.45,481.1
21,106.1,2249.95
3,107.95,313.6
36,85.25,3132.75
72,97.75,6991.6
51,90.35,4614.55
14,80.45,1072
12,80.85,866.45
20,98.55,2031.95
42,56.1,2386.85
51,78.65,3950.85
18,99.4,1742.95
29,66.1,1912.15
32,20.35,707.5
57,94.7,5468.95
36,80.4,2937.65
11,19.5,226.8
46,84.8,3958.85
49,93.85,4733.1
8,94.45,742.95
11,76.5,837.95
13,93.8,1261
1,19.25,19.25
65,25.75,1654.75
1,79.55,79.55
31,78.45,2435.15
1,19.85,19.85
59,18.4,1057.85
20,64.4,1398.6
68,24.15,1498.85
50,75.7,3876.2
32,20.55,654.55
13,59.9,788.35
8,20,141.6
68,86.45,5762.95
5,69.7,316.9
41,65,2531.8
68,80.35,5589.3
72,82.15,5784.3
1,73.5,73.5
11,75.2,775.3
13,88.95,1161.75
2,62.15,113.1
71,105.25,7291.75
15,46.3,639.45
57,19.75,1272.05
7,64.3,445.95
15,19.45,340.85
1,19.9,19.9
71,99.4,7168.25
68,118.6,7990.05
34,106.35,3549.25
18,93.9,1743.9
5,50.95,229.4
71,104.05,7413.55
66,92.15,6056.9
7,95.6,644.35
44,54.9,2549.1
37,92.95,3415.25
19,95.9,1777.9
48,105.1,5083.55
8,94.75,759.55
1,19.9,19.9
7,94.25,669
1,20.1,20.1
55,50.05,2743.45
1,55.55,55.55
44,19.55,819.95
16,54.85,916.15
1,19.95,19.95
71,86.1,6045.9
2,20.25,36.8
57,100.6,5746.15
33,20.1,670.35
41,74.25,3089.1
56,19.95,1126.75
58,108.85,6287.25
31,88.65,2683.2
6,48.95,273.25
51,60.15,3077
25,98.5,2514.5
63,109.4,7031.45
49,20.45,1024.65
26,81.95,2070.05
65,108.05,7118.9
43,100.55,4304
3,85.3,264.8
10,60.95,629.55
57,54.65,3134.7
1,44.55,44.55
2,45,89.75
72,65.7,4575.35
6,89.35,567.8
1,25.3,25.3
13,19.75,265.75
21,20,417.7
60,19.25,1103.25
4,50.7,151.3
32,90.8,3023.85
71,90.4,6668.05
72,64.95,4546
72,67.2,4671.7
55,50.55,2832.75
69,110.55,7610.1
34,105.1,3634.8
42,19.05,761.85
61,101.05,5971.25
2,95.1,180.25
52,50.95,2610.65
1,71.25,71.25
38,99.25,3777.15
27,80.65,2209.75
8,51.05,415.05
40,96.35,3915.4
2,20.5,38.25
29,39.5,1082.75
35,25.75,882.55
15,19.8,309.4
35,73,2471.25
31,25.75,755.6
49,49.8,2398.4
18,50.3,908.75
20,24.9,505.95
18,20.05,345.9
40,55.25,2139.2
5,85.4,401.1
38,85.4,3297
45,54.65,2553.7
29,20.65,654.85
38,74.95,2869.85
72,93.25,6688.95
68,56.4,3948.45
51,94.65,4812.75
61,99.9,6241.35
23,60,1347.15
66,65.7,4378.9
69,19.7,1396.9
9,94.05,811.65
58,50.3,2878.55
65,59.8,3808.2
1,19.6,19.6
17,92.7,1556.85
56,81.8,4534.45
58,97.8,5458.8
3,20.25,61.45
21,104.35,2271.85
12,78.3,909.25
6,73.85,401.3
37,76.5,2868.15
34,90.05,3097
26,59.45,1507
26,85.75,2146.5
3,92,266.8
7,25.05,152.95
62,100.15,6283.3
7,50.3,355.1
2,94.2,167.5
18,25.3,454.65
72,110.15,7998.8
20,19.35,433.75
65,74.8,4820.15
17,50.3,846.8
1,19.25,19.25
2,20.55,33.6
12,61.65,713.75
52,25.6,1334.5
63,79.7,4786.15
3,94.9,273.2
24,89.55,2259.35
56,100.65,5688.05
27,24.5,761.95
11,90.15,987.95
67,109.7,7344.45
4,70.2,237.95
68,19.95,1303.25
10,98.9,1064.95
12,19.7,258.35
24,20.3,459.95
71,87.25,6328.7
3,86.85,220.95
43,90.65,3882.3
7,73.75,545.15
10,19.95,187.75
46,45.55,2062.15
44,59.85,2603.95
1,69.4,69.4
71,109,7661.8
38,103.65,3988.5
34,79.95,2727.3
7,74.9,490.55
47,85.3,4107.25
9,45.4,418.8
72,105.5,7611.55
70,106.15,7475.1
53,80.6,4348.1
28,59.9,1654.7
46,59.9,2816.65
35,59.6,2094.9
